W,Kper9,IP,ERA,WHIP,Inducted
58,3.59,1072.3,2.35,1.24,N
65,8.74,1071.8,3.64,1.29,N
67,7.94,1071.5,3.45,1.37,N
70,6.79,1044.8,3.38,1.25,N
56,3.27,1043.2,2.76,1.18,N
68,7.43,1042.1,2.83,1.14,Y
69,7.01,1040.7,3.07,1.21,N
61,5.11,1029.0,3.76,1.56,N
46,3.41,920.4,3.78,1.44,N
51,3.11,918.2,3.85,1.35,N
44,8.99,884.7,3.19,1.30,N
46,7.59,868.6,3.27,1.24,N
49,4.66,861.9,4.05,1.47,N
45,4.22,854.7,2.49,1.18,N
42,7.30,840.1,3.62,1.33,N
62,3.95,816.7,2.85,1.31,N
53,2.61,811.4,3.84,1.39,N
47,5.10,809.9,3.41,1.38,N
41,9.81,789.6,2.67,1.09,N
38,7.55,768.0,3.30,1.16,N
48,9.46,765.0,2.93,1.13,N
47,4.87,746.1,3.28,1.28,N
29,4.31,745.0,4.63,1.63,N
57,6.55,732.6,3.21,1.31,N
64,6.83,721.9,3.10,1.29,N
45,9.98,715.1,2.98,1.21,N
50,8.15,693.8,3.09,1.23,N
45,8.59,691.4,3.65,1.56,N
40,3.67,689.4,4.05,1.53,N
34,8.34,681.6,4.86,1.39,N
43,5.93,617.7,3.60,1.31,N
38,3.65,604.7,4.29,1.42,N
48,5.90,600.9,3.13,1.31,N
39,6.59,562.7,2.99,1.24,N
28,5.45,476.0,3.29,1.28,Y
16,4.19,416.6,4.02,1.43,N
24,2.69,402.0,3.87,1.55,Y
13,7.12,384.3,4.61,1.51,N
15,2.21,256.0,4.75,1.61,N
14,1.74,197.0,4.48,1.60,N
10,2.50,176.3,3.73,1.42,N
8,4.15,141.0,4.40,1.55,N
3,6.15,123.0,5.56,1.93,N
5,5.11,111.0,2.35,1.29,Y
4,1.45,99.4,3.81,1.65,Y
1,2.20,77.7,4.87,1.97,N
