W,Kper9,IP,ERA,WHIP,Inducted
123,6.21,2233.4,3.86,1.26,N
145,4.60,2230.7,3.83,1.35,N
130,6.56,2230.3,2.86,1.14,N
127,4.05,2229.8,2.95,1.26,N
132,5.55,2223.3,3.96,1.36,N
116,1.96,2222.0,4.95,1.61,N
144,6.88,2219.3,3.76,1.28,N
158,3.70,2219.2,3.87,1.30,N
133,4.12,2218.2,3.30,1.19,N
125,2.20,2217.0,4.12,1.46,N
132,6.01,2216.4,4.19,1.32,N
124,7.79,2215.7,4.33,1.43,N
128,2.96,2213.8,3.18,1.27,N
163,7.39,2213.1,3.28,1.20,N
139,2.93,2206.0,2.69,1.19,N
131,6.36,2198.0,4.27,1.28,N
129,6.82,2196.8,4.67,1.37,N
139,4.76,2191.9,2.76,1.23,N
138,6.52,2191.6,4.28,1.38,N
124,6.07,2190.3,3.90,1.35,N
108,4.38,2188.5,4.17,1.40,N
144,5.44,2187.1,3.70,1.26,N
152,6.49,2183.6,4.15,1.31,N
104,3.03,2181.0,4.28,1.48,N
117,3.04,2176.4,4.11,1.40,N
129,0.48,2175.7,2.78,1.31,N
142,4.62,2174.8,3.27,1.32,N
118,6.27,2174.0,3.39,1.26,N
137,4.11,2170.2,3.62,1.34,N
112,3.82,2165.8,4.06,1.28,N
133,6.93,2165.4,4.12,1.41,N
137,8.20,2162.6,4.05,1.32,N
128,4.57,2162.2,3.49,1.27,N
109,4.32,2160.2,3.72,1.31,N
143,2.96,2156.0,3.68,1.35,N
115,4.76,2155.8,3.72,1.33,N
149,4.72,2154.6,3.56,1.20,N
127,4.31,2153.1,3.58,1.28,N
148,5.88,2153.0,4.61,1.49,N
140,6.32,2152.0,3.21,1.21,N
119,3.37,2151.7,3.60,1.26,N
145,0.54,2149.7,2.49,1.22,Y
123,4.80,2148.7,3.59,1.34,N
128,6.43,2147.4,2.92,1.21,N
138,3.80,2140.6,3.99,1.29,N
141,5.73,2139.4,3.45,1.27,N
138,4.81,2127.8,3.46,1.29,N
114,4.43,2127.1,3.37,1.25,N
139,3.85,2125.6,3.49,1.30,N
137,3.00,2124.6,3.50,1.40,N
134,5.64,2123.7,3.80,1.32,N
102,5.13,2122.6,3.92,1.26,N
122,5.52,2120.2,3.54,1.28,N
143,2.70,2119.3,3.48,1.34,N
129,3.38,2114.7,3.79,1.27,N
